Id,Label,timeset,users_can_post,link,category,talking_about_count,like_count
214884518710996,Aline Zattar Moda Plus Size,,no,https://www.facebook.com/alinezattarclothing/,Clothing,1168,62660
124177214310102,Passarela,,yes,https://www.facebook.com/modanapassarela/,Company,18244,4521265
272593099542874,Ladies Chic,,yes,https://www.facebook.com/ladieschic/,Personal Blog,15,1409
201013883296353,VK Moda Feminina Plus Size,,no,https://www.facebook.com/vkmodaplussizes/,Retail and Consumer Merchandise,17209,378441
168553733225405,Loja Mulherão,,yes,https://www.facebook.com/Loja-Mulherão-168553733225405/,Company,39,8757
334081010000014,Thayane,,no,https://www.facebook.com/ANOVAANTONIETA/,Personal Blog,17,1978
421345394551786,Casa Bragança Calçados,,yes,https://www.facebook.com/CasaBragancaCalcados/,Retail and Consumer Merchandise,48,6537
137335179772510,Edull,,yes,https://www.facebook.com/edull.ardo/,Artist,2074,24212
116843165061940,Plié,,no,https://www.facebook.com/PlieBrasil/,Clothing,644,56504
176138972544043,Rússia Noivas,,yes,https://www.facebook.com/RussiaNoivas/,Clothing,329,24733
149895018399168,Candice Huffine,,no,https://www.facebook.com/Candice-Huffine-149895018399168/,Public Figure,167,46812
280069688709100,Memirro s Noivas,,no,https://www.facebook.com/MemirrosNoivas/,Company,29,2533
130606513707139,SerraSul Shopping,,no,https://www.facebook.com/serrasulshopping/,Public Places,2051,43287
157293541026960,olook,,no,https://www.facebook.com/Olook/,Website,774,831127
186702725623,Garner Style,,yes,https://www.facebook.com/garnerstyle12/,Personal Blog,218016,726536
356883069268,Revista Marie Claire Brasil,,yes,https://www.facebook.com/MarieClaireBrasil/,Society/Culture Website,48818,684148
115987058416365,Estadão,,no,https://www.facebook.com/estadao/,News/Media Website,534897,3008199
755299424480552,Moda Estadão,,yes,https://www.facebook.com/modaestadao/,Media/News/Publishing,139,15825
239379369601274,Casa Bragança,,yes,https://www.facebook.com/casabragancasantarita/,Shopping/Retail,12,1180
556427754387527,Divulga Vagas Vale do Paraíba,,yes,https://www.facebook.com/Divulga-Vagas-Vale-do-Paraíba-556427754387527/,Company,42,9302
213556958786785,Infatstyle,,yes,https://www.facebook.com/Infatstyle-213556958786785/,Personal Blog,11,1160
249695578379466,Pausa para Feminices por Bruna Tavares,,yes,https://www.facebook.com/blogPausaparaFeminices/,Personal Blog,301203,2427764
197053963655945,Alfinetes de Morango,,yes,https://www.facebook.com/BlogAlfinetesdeMorango/,Personal Blog,169,17413
482923291818200,Meon,,yes,https://www.facebook.com/portalmeon/,Local Business,13658,27479
152221058137043,Mega Polo Moda,,yes,https://www.facebook.com/megapolomoda/,Clothing,826,81632
207988796020213,Nati Romano,,yes,https://www.facebook.com/lojanatiromano/,Local Business,52,4142
492058860844899,Tudo de MODA pra você,,yes,https://www.facebook.com/TudoDeModaPraVoce/,Community,1,147
121827081309406,Leticia de Oliveira - Psicologa Comportamental,,yes,https://www.facebook.com/LeticiaDeOliveiraPsicologaComportamental/,Health/Medical/Pharmacy,714,18258
476903082431210,Balaio de Estilo,,yes,https://www.facebook.com/balaiodeestilo/,Media/News/Publishing,163,5333
484321724998881,Tulle Assessoria,,yes,https://www.facebook.com/tulleassessoria/,Product/Service,0,240
319861741410000,Shopping Litoral Atacadista,,yes,https://www.facebook.com/ShoppingLitoral/,Local Business,46,9634
416391328422034,Capitaozeferino,,yes,https://www.facebook.com/capitaozeferino/,Artist,753,4533
157220200987456,Mercado Mixx,,yes,https://www.facebook.com/MercadoMixx/,Company,14,1963
1454185511475969,XV Mix,,no,https://www.facebook.com/xvmix/,Clothing,18,5995
318320208247203,Lubianc moda,,yes,https://www.facebook.com/lubianc/,Shopping/Retail,3,1182
208855559186579,True e-motion,,no,https://www.facebook.com/True.em.moda/,Clothing,3,7617
177931729055498,Beauticurve,,yes,https://www.facebook.com/beauticurve/,Personal Blog,1898,21064
183948728325863,Vult Cosmética,,yes,https://www.facebook.com/vultcosmetica/,Health/Beauty,29834,1108234
164661903600594,Aiza Collection,,yes,https://www.facebook.com/VestidosDeFesta/,Clothing,1694,41562
340328702724028,Leandro.com,,yes,https://www.facebook.com/leandropontocompage/,Entertainer,655,8169
168560136513443,Pouso Alegre .Net,,yes,https://www.facebook.com/pousoalegrenet/,News/Media Website,2416,43791
530325967023575,Josefine Plus Size,,no,https://www.facebook.com/lojajosefineplussize/,Public Places,7,2509
235263107772,MdeMulher,,yes,https://www.facebook.com/MdeMulher/,News/Media Website,310182,2453107
255892494433378,Vivace Farmácia de Manipulação,,no,https://www.facebook.com/vivacefarmacia/,Health/Medical/Pharmacy,85,3235
214522925264497,Inove Plus Size,,yes,https://www.facebook.com/www.inoveplussize.com.br/,Clothing,248,11711
1665300123703523,Rádio Piratininga,,yes,https://www.facebook.com/radio.piratininga.sjc/,Radio Station,22,8098
106505379390262,Paradise Golf & Convention,,yes,https://www.facebook.com/paradisegolfconvention/,Travel/Leisure,1177,38579
244394105708358,Ênfase Plus,,yes,https://www.facebook.com/enfaseplusfashion/,Clothing,260,11956
130019137016721,Árvore Propaganda & Marketing,,no,https://www.facebook.com/arvorepropaganda/,Media/News/Publishing,7,1796
547809088612315,Vestida de Mim,,yes,https://www.facebook.com/Vestida-de-Mim-547809088612315/,Personal Blog,2,1837
312194878914454,Mariana Xavier,,yes,https://www.facebook.com/marianaxavieroficial/,Artist,2687,32638
523016277762061,Xadrez Plus Size,,yes,https://www.facebook.com/plus.size.xadrez/,Clothing,270,102646
224786464339448,Grupo Heanlu,,yes,https://www.facebook.com/GrupoHeanlu/,Company,88,4506
181549021899951,Mar&Nua Barcelona,,yes,https://www.facebook.com/MarandNua.Bcn/,Clothing,5,1750
153852684678269,Talento Moda Minas,,no,https://www.facebook.com/talentomoda/,Clothing,1439,49535
389746007804832,Bela moda plus size,,no,https://www.facebook.com/BelaModaPlusSize/,Shopping/Retail,5,3235
101036196646365,Vou de Marisa,,yes,https://www.facebook.com/voudemarisa/,Clothing,240417,4482314
470173826428126,Formosas Tamanhos Especiais,,yes,https://www.facebook.com/Formosas-Tamanhos-Especiais-470173826428126/,Clothing,0,137
150751645046382,Realist Plus,,yes,https://www.facebook.com/realistplus/,Clothing,223,11432
107309305972248,Posthaus,,no,https://www.facebook.com/PortalPosthaus/,Website,42671,2817793
367152833370567,Instagram,,no,https://www.facebook.com/instagram/,App Page,63206,29676202
137114316481439,Achados Plus Size,,yes,https://www.facebook.com/Achadosplussize/,Clothing,106,10256
431981126918674,Titah Moda Intima e Praia Plus Size,,yes,https://www.facebook.com/titah.modaintima/,Local Business,20,2229
161758410553702,Camila Figueiredo Coelho,,no,https://www.facebook.com/Camila-Figueiredo-Coelho-161758410553702/,Public Figure,121341,2714456
221770444519274,Garotas Estúpidas,,no,https://www.facebook.com/garotasestupidas/,Website,3021,617299
155269201333632,VIDA FIT,,yes,https://www.facebook.com/blogvidafit/,Health/Wellness Website,1507,6018
103041026439143,Thássia Naves,,no,https://www.facebook.com/BlogdaThassia/,Public Figure,5480,391725
741488235868101,D Antigaria,,yes,https://www.facebook.com/dantigaria/,Local Business,30,2044
225781330794682,Kelly Maria,,yes,https://www.facebook.com/oficialkellymaria/,Entertainer,1539,17740
353171514770582,Estilo Sem Medida- Plus Size,,no,https://www.facebook.com/SacoleiraVirtualPlusSize/,Shopping/Retail,2841,30576
226202677549237,Studio Koultt,,yes,https://www.facebook.com/StudioKoultt/,Spas/Beauty/Personal Care,0,445
324876770939063,Ika Coelho,,yes,https://www.facebook.com/ikacoelhooficial/,Jewelry/Watches,35,2800
256525401162063,1  Garota  Plus Size Taubaté,,yes,https://www.facebook.com/1-Garota-Plus-Size-Taubaté-256525401162063/,Health/Beauty,0,700
182336158543346,Lojas JB,,no,https://www.facebook.com/lojasjb/,Local Business,26,12194
415248391835448,Programa Antes da Uma,,yes,https://www.facebook.com/antesdauma/,Comedian,42,4953
345101265597420,Colcci Colinas,,no,https://www.facebook.com/pages/Colcci-Colinas/345101265597420,Local Business,2,44
383497945060268,Saltos  Pantufas & Lingeries,,yes,https://www.facebook.com/Saltos-Pantufas-Lingeries-383497945060268/,Personal Blog,501,11946
321043587985150,Cafeda Madre,,yes,https://www.facebook.com/CafedaMadre/,Restaurant/Cafe,7,6306
301257246668687,Program Moda Vale Sul Shopping,,yes,https://www.facebook.com/Program-Moda-Vale-Sul-Shopping-301257246668687/,Clothing,1,494
199269353553646,Telma Modas,,yes,https://www.facebook.com/telmamodasjac/,Shopping/Retail,447,30717
282084968481260,NANDO JR- FOTÓGRAFO,,yes,https://www.facebook.com/nandojrfotografo/,Company,28,4180
536980806372778,Detalhesartesanais,,yes,https://www.facebook.com/Detalhesartesanais/,Company,0,132
521937927884075,Rouge Marie Plus Size,,yes,https://www.facebook.com/RougeMariePlusSize/,Clothing,2578,33809
182158528567931,Ênfase,,no,https://www.facebook.com/enfasefashion/,Company,63,37759
359587857397191,Maison Zank,,yes,https://www.facebook.com/MaisonZank/,Company,1,988
486292534720829,Relaxa aí  Fofa,,yes,https://www.facebook.com/RelaxaAiFofa/,Personal Blog,2019,20563
128646277206656,Hering,,no,https://www.facebook.com/CiaHering/,Clothing,5253,1677519
118955421524131,Programa Pedro Alcântara,,yes,https://www.facebook.com/pgmpedroalcantara/,TV Show,80,28094
170005889750545,Falando Nisso,,no,https://www.facebook.com/falandonissoband/,TV Show,2029,24012
166640353388074,Programa Tudo com Estilo,,yes,https://www.facebook.com/tudocomestilo/,TV Show,34,3309
398521580213373,Personi,,no,https://www.facebook.com/difusora.personi/,Magazine,3,1403
285656031511081,João Oliveira,,yes,https://www.facebook.com/joaooliveiravis/,Artist,1,523
493706137324713,Olha Que Linda Bijoux,,yes,https://www.facebook.com/olhaquelindabijoux/,Jewelry/Watches,71,9363
202336133179675,Marina Rinaldi,,yes,https://www.facebook.com/marinarinaldiofficial/,Clothing,865,111767
382697461788841,Programa Hoje em Dia,,no,https://www.facebook.com/ProgramaHojeEmDia/,TV Show,31032,3752758
128686790796430,MR LUXOS,,yes,https://www.facebook.com/morena.rosaluxos.5/,Clothing,256,82675
106510759441262,Bom Retiro Na Moda,,yes,https://www.facebook.com/bomretironamoda/,Non-Profit Organization,214,16063
537077169639963,Plus Size,,yes,https://www.facebook.com/estampadamoda/,Shopping/Retail,3,2112
351088415009414,DDA Modas O Rei do Plus Size,,yes,https://www.facebook.com/DDA-Modas-O-Rei-do-Plus-Size-351088415009414/,Shopping/Retail,75,7083
175775249378,Robyn Lawley,,yes,https://www.facebook.com/RobynLawleyPlusSizeModel/,Public Figure,2013,97470
175519299161553,Korukru by Lu Oliva - Cintos e Acessórios,,yes,https://www.facebook.com/korukrubyluoliva/,Product/Service,152,5308
358800530858319,Folky,,yes,https://www.facebook.com/folky.com.br/,App Page,45,13165
260835530608800,Gamaia Esportes,,yes,https://www.facebook.com/GamaiaEsportes/,Outdoor Gear/Sporting Goods,254,15968
130917160320991,Fofashions,,no,https://www.facebook.com/Fofashions-130917160320991/,Community,870,8853
263272937104255,Blog Meu Espelho Diz,,yes,https://www.facebook.com/MeuEspelhoDiz/,Personal Blog,8,3297
137344219770299,Marileti Plus Size,,yes,https://www.facebook.com/Marileti-Plus-Size-137344219770299/,Clothing,148,7945
412352168802187,Josy Ronconi - Consultoria de beleza,,yes,https://www.facebook.com/JosyRonconimakeup/,Health/Beauty,2,2487
272059726236918,Óticas Donna Bella,,yes,https://www.facebook.com/oticasdonnabella/,Health/Beauty,85,2848
177975318933641,Chic Tric,,no,https://www.facebook.com/chictricblog/,Community,33,35218
148777321876003,Blog Momento Beauté,,yes,https://www.facebook.com/BlogMomentoBeaute/,Personal Blog,1693,140398
258449936215,Stéphanie Zwicky,,yes,https://www.facebook.com/leblogdebigbeauty/,Personal Blog,839,29716
481248305225854,Nadia Aboulhosn,,no,https://www.facebook.com/Nadia-Aboulhosn-481248305225854/,Public Figure,20962,330438
280489308720070,Fê Bastos - Consultoria de Imagem e Desenvolvimento Profissional,,yes,https://www.facebook.com/febastosconsultoria/,Business Person,35,1793
145880348933756,Moça de Saia - Plus Size,,yes,https://www.facebook.com/mocadesaia.plussize/,Clothing,39,4305
193777420772358,Kiss Flower - Plus Size,,yes,https://www.facebook.com/kissflower.plussize/,Clothing,206,15842
316197095089087,Helena Custodio Modelo Plus Size,,yes,https://www.facebook.com/helenacustodiooficial/,Public Figure,171,62405
371576299625938,Blog Silvia Daujotas,,yes,https://www.facebook.com/BlogSilviaDaujotas/,Personal Blog,1,396
59672929326,Topshop,,yes,https://www.facebook.com/Topshop/,Clothing,6615,4099627
111488005563000,Espaço Fashion,,yes,https://www.facebook.com/espacofashion/,Clothing,1292,164490
294797007771,Vogue Italia,,no,https://www.facebook.com/VogueItalia/,Magazine,118331,1941036
611457672218020,Studio Nelza Salgado,,yes,https://www.facebook.com/Studio-Nelza-Salgado-611457672218020/,Local Business,9,1036
179804542048818,Smart Fit,,yes,https://www.facebook.com/SmartFit.Oficial/,Health/Beauty,8265,356740
201569539997620,Dotstore Cursos,,no,https://www.facebook.com/dotstorecursos/,Education,0,496
358681997496092,Lounge Empreendedor,,yes,https://www.facebook.com/LoungeEmpreendedor/,Consulting/Business Services,5,1649
147970798648675,GPM Video,,yes,https://www.facebook.com/GPMVideos/,Media/News/Publishing,27,1449
111663252190899,Revista Vitti,,no,https://www.facebook.com/vittirevista/,Magazine,42,3922
195680040476719,Revista Absollut,,yes,https://www.facebook.com/Revista-Absollut-195680040476719/,Magazine,4,1011
233810286714301,Cachopa Brasil Fitness e Beachwear All Size,,yes,https://www.facebook.com/cachopabrasil/,Clothing,31,2109
439349256087453,Sizely Lingerie,,yes,https://www.facebook.com/Sizely-Lingerie-439349256087453/,Company,630,49299
249745911749876,Melinde Brasil,,no,https://www.facebook.com/melindebr/,Clothing,1675,42477
345309372247592,Carmen Steffens Sao Jose dos Campos,,yes,https://www.facebook.com/carmen.steffens.sjc/,Shopping/Retail,3,1107
148064195323219,Barbaresco SãoJosé,,yes,https://www.facebook.com/BarbarescoSJC/,Food/Beverages,56,22402
485272514817198,Attribute Jeans,,no,https://www.facebook.com/Attributejeans/,Clothing,10,1354
261765663969001,Adriana Líbini Fotografia,,no,https://www.facebook.com/adrianalibini/,Photographer,469,26483
75756222753,Forever Yours Lingerie,,yes,https://www.facebook.com/Forever-Yours-Lingerie-75756222753/,Local Business,926,26363
212212308790848,Loony Jeans,,no,https://www.facebook.com/curtaloonyjeans/,Clothing,1326,122815
269392323072262,CCVP - Clube de Criação do Vale do Paraíba,,yes,https://www.facebook.com/curtaccvp/,Regional Website,6,1342
138482599532874,Valisere Lingerie,,no,https://www.facebook.com/ValisereLingerie/,Company,1048,65657
