rt_id,who_was_rt,content_of_rt
1255625787929231361,MariluPamc,"VAI TE EMBORA CARNIÇA!!!

Kataguiri sugere aliança com a esquerda para derrubar Bolsonaro - RENOVA Mídia https://t.co/kinGDQBcEv via @renovamidia"
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
1255623800982589446,BolsonaroSP,"Boa notícia. Novo remédio para combater o COVID-19 no horizonte.

O remdesivir pode, segundo o Dr. Fauci, bloquear uma enzima que o vírus utiliza. https://t.co/it6GOwwRsk"
1255621384199442433,maurobonna,https://t.co/Ssw68mRMoL
1255617119972134914,o_antagonista,"""Não subestimem a doença. É mais sério do que eu imaginava”, disse o apresentador, que não tem previsão de retorno à RedeTV!.

https://t.co/GmtM6cmNqw"
1255619577104470016,ppaly,São Paulo está batendo todos os recordes de infectados e mortos com o #COVID19. A quarentena foi mal feita e toda a gestão da pandemia está sendo muito fraca. Tanto o Doria qto o Covas terão que ser responsabilizados por isso. E não adianta tentar culpar o Bolsonaro. #coronavirus
1255558208120291333,seontasa,"Repórter conta drama do pai, Bolsonarista fanático, que não seguiu isolamento e está na UTI https://t.co/E2xrgS9Lwb"
1255603163010404356,renatabello,"A blogueira alagoana não não usa máscara mas se protege contra o coronavírus usando GUMMY HAIR. Sim, esse é o Tweet. https://t.co/ABtFwkkFQL"
1255482778218573830,delucca,Vocês notaram que a cloroquina saiu da narrativa política de Bolsonaro?
1255614816758177794,gpoli,Amigos da passagem de pano: alguém aí se lembra da campanha “O Brasil não pode parar”?
1255607768637210624,RodrigoMenegat,"Nem bem tivemos a boa notícia sobre os resultados do estudo com o Remdesivir, já temos más notícias: esse pesquisador de Yale aponta que as medidas de resultado foram alteradas durante a pesquisa. https://t.co/llHWCCBTq5"
1255549494667640834,MinEconomia,"“O Brasil tem ativos imobiliários que chegam a mais de R$ 1 trilhão de valor. Se acelerarmos a venda de imóveis, podemos reduzir bastante a dívida pública”, defende o ministro Paulo Guedes .Saiba mais: https://t.co/TSAtqMHKSK https://t.co/lSFp6cbnUs"
1255598715051618309,RenovaMidia,"Os mercados mundiais estão animados, nesta quarta-feira (29), após a farmacêutica Gilead Sciences afirmar que seu medicamento Remdesivir atingiu resultado positivo em testes contra o #coronavírus.

https://t.co/8ApkpEyric"
1255596198733524998,RaphaHauerKing,"Não sei quem é esse homem MARAVILHOSO, recebi essa receita por mensagem, e já quero ele vindo fazer kibe na minha cozinha.

#FiqueEmCasa #ReceitaDeKibe https://t.co/od8MfDE8X1"
1255601910326976512,roxmo,"Profissionais da saúde agora têm assinatura digital grátis e newsletter exclusiva https://t.co/yr9zlJeeAu // Olha só, mais gente vai receber a Folha de graça! Já são professores, advogados, médicos, enfermeiros... Será que vão ler?"
1255505219779256328,otempo,"Caio Coppola, comentarista da CNN Brasil, testa positivo para coronavírus https://t.co/QXz6eQnsHm https://t.co/bNfk0BGbCP"
1255499096644890624,erlan_bastos,#URGENTE O apresentador Sikêra Jr. está com os dois pulmões comprometidos por causa do novo coronavírus. Informação dada pela rede tiradentes de Manaus. Mais informações em instantes no @mixturando https://t.co/n6CER2ZuGw
1255492982389735430,paulomoreria,"quarentena dia 45: se tivesse que por um nome de remédio pro teu filho/filha, que nome tu escolheria?"
1248085586516328448,MagnoMalta,CLOROQUINA FOI UMA CONTRIBUIÇÃO DE DORIA PARA O BRASIL ! TROFÉU ÓLEO DE PEROBA PRA ELE https://t.co/V11At2nxFK
1255604532693864452,folha,"Antiviral remdesivir acelera recuperação de pacientes com Covid-19, diz órgão dos EUA https://t.co/olOgNXcZjD"
1255601408126181378,Ro_anna,"PROMOÇÃO 

O GERENTE ENDOIDOU 

Ministro Guedes quer a venda de estatais e imóveis da União nesse momento de pandemia 
https://t.co/7fxczBRGN1"
1255588963831689218,delucca,"Vocês lembram que Bolsonaro disse que mandou o Laboratório do Exército fabricar cloroquina desesperadamente, mesmo sem saber se ele era eficaz contra o coronavírus? Pois é, agora estão produzindo 80 vezes mais e Bolsonaro nem fala mais sobre o assunto.

https://t.co/uzYW7Adl3r"
1255541788154224641,NBCNews,"Dr. Fauci speaks on the clinical trial for potential coronavirus treatment drug remdesivir:

“What it has proven is that a drug can block this virus ... This drug happens to be blocking an enzyme that the virus uses."" https://t.co/hFTPUIa8No"
1255600321579098113,teixei_a,"@perolingrado @sandra_miria Que viajem, o que será que ele tomou?"
1255521119458799617,BolsonaroSP,"Confira algumas das medidas tomadas pelo Presidente @jairbolsonaro nos últimos dias, tanto no esforço contra a pandemia quanto em outros setores da sociedade 👍 https://t.co/uIMxiKWifG"
